pathway,pval,padj,log2err,ES,NES,size,leadingEdge,term,comparison_family,group1,group2,tissue,day,celltype,gs_id,parentTerm,Mtb
GO:1904064,1.705907772338175e-4,0.08094625917740124,0.5188480777437918,0.95767032779140715,1.6601714988326757,3,"Cxcl9,Cxcl10",positive regulation of cation transmembrane transport,mtb,pos,neg,lung,15,AM,GO:1904064,establishment of localization in cell,NA
GO:0051208,4.862332502075017e-4,0.08094625917740124,0.49849310876659025,0.9439641811991194,1.6364111783225732,3,"Cxcl9,Cxcl10",sequestering of calcium ion,mtb,pos,neg,lung,15,AM,GO:0051208,regulation of release of sequestered calcium ion into cytosol,NA
GO:0051209,4.862332502075017e-4,0.08094625917740124,0.49849310876659025,0.9439641811991194,1.6364111783225732,3,"Cxcl9,Cxcl10",release of sequestered calcium ion into cytosol,mtb,pos,neg,lung,15,AM,GO:0051209,regulation of release of sequestered calcium ion into cytosol,NA
GO:0051279,4.862332502075017e-4,0.08094625917740124,0.49849310876659025,0.9439641811991194,1.6364111783225732,3,"Cxcl9,Cxcl10",regulation of release of sequestered calcium ion into cytosol,mtb,pos,neg,lung,15,AM,GO:0051279,regulation of release of sequestered calcium ion into cytosol,NA
GO:0051282,4.862332502075017e-4,0.08094625917740124,0.49849310876659025,0.9439641811991194,1.6364111783225732,3,"Cxcl9,Cxcl10",regulation of sequestering of calcium ion,mtb,pos,neg,lung,15,AM,GO:0051282,regulation of release of sequestered calcium ion into cytosol,NA
GO:0051283,4.862332502075017e-4,0.08094625917740124,0.49849310876659025,0.9439641811991194,1.6364111783225732,3,"Cxcl9,Cxcl10",negative regulation of sequestering of calcium ion,mtb,pos,neg,lung,15,AM,GO:0051283,regulation of release of sequestered calcium ion into cytosol,NA
GO:0070588,4.862332502075017e-4,0.08094625917740124,0.49849310876659025,0.9439641811991194,1.6364111783225732,3,"Cxcl9,Cxcl10",calcium ion transmembrane transport,mtb,pos,neg,lung,15,AM,GO:0070588,establishment of localization in cell,NA
GO:0097553,4.862332502075017e-4,0.08094625917740124,0.49849310876659025,0.9439641811991194,1.6364111783225732,3,"Cxcl9,Cxcl10",calcium ion transmembrane import into cytosol,mtb,pos,neg,lung,15,AM,GO:0097553,establishment of localization in cell,NA
GO:1903169,4.862332502075017e-4,0.08094625917740124,0.49849310876659025,0.9439641811991194,1.6364111783225732,3,"Cxcl9,Cxcl10",regulation of calcium ion transmembrane transport,mtb,pos,neg,lung,15,AM,GO:1903169,establishment of localization in cell,NA
GO:0051281,1.9794944254086303e-4,0.08094625917740124,0.5188480777437918,1,1.555156189655689,2,"Cxcl9,Cxcl10",positive regulation of release of sequestered calcium ion into cytosol,mtb,pos,neg,lung,15,AM,GO:0051281,regulation of release of sequestered calcium ion into cytosol,NA
GO:1904427,1.9794944254086303e-4,0.08094625917740124,0.5188480777437918,1,1.555156189655689,2,"Cxcl9,Cxcl10",positive regulation of calcium ion transmembrane transport,mtb,pos,neg,lung,15,AM,GO:1904427,establishment of localization in cell,NA
GO:0051146,5.875087494029112e-4,0.09336048126875351,0.47727081536286214,0.8542339691684327,1.7916781452918356,6,"Cxcl9,Cxcl10,Mmp14",striated muscle cell differentiation,mtb,pos,neg,lung,15,AM,GO:0051146,striated muscle cell differentiation,NA
GO:0071219,6.532674520279044e-4,0.0951592921787314,0.47727081536286214,0.7810324187719543,1.855285525849475,10,"Cxcl9,Cxcl10,Ass1,Gbp5,Cxcl16,Gbp2",cellular response to molecule of bacterial origin,mtb,pos,neg,lung,15,AM,GO:0071219,defense response to symbiont,NA
GO:0071222,6.532674520279044e-4,0.0951592921787314,0.47727081536286214,0.7810324187719543,1.855285525849475,10,"Cxcl9,Cxcl10,Ass1,Gbp5,Cxcl16,Gbp2",cellular response to lipopolysaccharide,mtb,pos,neg,lung,15,AM,GO:0071222,defense response to symbiont,NA
GO:0031640,7.444653417149786e-4,0.0963944753568728,0.47727081536286214,0.8216064619568542,1.7911192910026943,7,"Cxcl9,Cxcl10,Gbp5,Gbp2",killing of cells of another organism,mtb,pos,neg,lung,15,AM,GO:0031640,killing of cells of another organism,NA
GO:0141060,7.444653417149786e-4,0.0963944753568728,0.47727081536286214,0.8216064619568542,1.7911192910026943,7,"Cxcl9,Cxcl10,Gbp5,Gbp2",disruption of anatomical structure in another organism,mtb,pos,neg,lung,15,AM,GO:0141060,NA,NA
GO:0141061,7.444653417149786e-4,0.0963944753568728,0.47727081536286214,0.8216064619568542,1.7911192910026943,7,"Cxcl9,Cxcl10,Gbp5,Gbp2",disruption of cell in another organism,mtb,pos,neg,lung,15,AM,GO:0141061,NA,NA
GO:0002682,8.46637961164007e-4,0.1057087968653346,0.47727081536286214,0.6014921526207373,1.7873612854032157,33,"Cxcl10,Mmp14,Rsad2,Gbp5,Slc7a11,Cfb,Gbp2,Irf7,Pla2g7,Ccl9,C3,Bst2,Ifi204,B2m,Stat1,H2-T23,H2-K1,Samhd1",regulation of immune system process,mtb,pos,neg,lung,15,AM,GO:0002682,immune response,NA
GO:0050900,8.859380842786609e-4,0.10680136353924824,0.47727081536286214,0.7913309404009051,1.826078281282536,9,"Cxcl9,Cxcl10,Mmp14,Cxcl16,Pla2g7",leukocyte migration,mtb,pos,neg,lung,15,AM,GO:0050900,immune response,NA
GO:0071216,0.00111382460226459,0.12979769365056795,0.45505986738722953,0.7549759249160375,1.8318768670400007,11,"Cxcl9,Cxcl10,Ass1,Gbp5,Cxcl16,Gbp2",cellular response to biotic stimulus,mtb,pos,neg,lung,15,AM,GO:0071216,defense response to symbiont,NA
GO:0002376,0.00137691371077798,0.15528033331870467,0.45505986738722953,0.5487479532079962,1.6844597841767786,57,"Cxcl9,Cxcl10,Mmp14,Ass1,Rsad2,Gbp5,Cxcl16,Slc7a11,Cfb,Gbp2,Irf7,Pla2g7,Ccl9,Wfdc17,C3,Bst2,Ifi204,Rnf19b,B2m,Psme2,Stat1,H2-T23,H2-K1,Samhd1,Ly6e,Tcirg1",immune system process,mtb,pos,neg,lung,15,AM,GO:0002376,immune response,NA
GO:0051607,0.0015049202956535,0.15717910570441793,0.45505986738722953,0.7769051206898878,1.792789204969356,9,"Cxcl9,Cxcl10,Rsad2,Gbp5,Gbp2,Irf7,Bst2",defense response to virus,mtb,pos,neg,lung,15,AM,GO:0051607,defense response to symbiont,NA
GO:0009607,0.00176245988159094,0.15717910570441793,0.45505986738722953,0.5748026021029132,1.7392903574674048,45,"Cxcl9,Cxcl10,AA467197,Ass1,Rsad2,Gbp5,Cxcl16,Cfb,Gbp2,Irf7,Ccl9,Wfdc17,C3,Bst2,Ifi204,Rnf19b,B2m,Stat1,H2-T23,H2-K1,Samhd1,Ly6e",response to biotic stimulus,mtb,pos,neg,lung,15,AM,GO:0009607,defense response to symbiont,NA
GO:0071674,0.0017404279601933,0.15717910570441793,0.45505986738722953,0.8268916511309179,1.7343301171899763,6,"Cxcl10,Mmp14,Cxcl16,Pla2g7",mononuclear cell migration,mtb,pos,neg,lung,15,AM,GO:0071674,immune response,NA
GO:0002753,0.00153979924331181,0.15717910570441793,0.45505986738722953,0.8534610140312493,1.707578892922163,5,"Rsad2,Gbp5,Gbp2,Irf7",cytoplasmic pattern recognition receptor signaling pathway,mtb,pos,neg,lung,15,AM,GO:0002753,cytoplasmic pattern recognition receptor signaling pathway,NA
GO:0006950,0.00179838793712148,0.15717910570441793,0.45505986738722953,0.5530448565068274,1.7045843784839363,60,"Cxcl9,Cxcl10,Mmp14,Ass1,Rsad2,Gbp5,Cxcl16,Slc7a11,Cfb,Gbp2,Irf7,Pla2g7,Ccl9,Wfdc17,C3,Crip1,Bst2,Ifi204,Ctsk,Rnf19b,B2m,Stat1,H2-T23,H2-K1,Samhd1,Ly6e,Tcirg1",response to stress,mtb,pos,neg,lung,15,AM,GO:0006950,defense response,NA
GO:0043270,0.00164160190622969,0.15717910570441793,0.45505986738722953,0.8499967990481332,1.7006477967285911,5,"Cxcl9,Cxcl10",positive regulation of monoatomic ion transport,mtb,pos,neg,lung,15,AM,GO:0043270,establishment of localization in cell,NA
GO:0051928,0.00167156212689862,0.15717910570441793,0.45505986738722953,0.8831781830301026,1.661894914248034,4,"Cxcl9,Cxcl10",positive regulation of calcium ion transport,mtb,pos,neg,lung,15,AM,GO:0051928,establishment of localization in cell,NA
GO:0007520,0.00162505502765649,0.15717910570441793,0.45505986738722953,0.9235531412704944,1.6010275752519978,3,"Cxcl9,Cxcl10",myoblast fusion,mtb,pos,neg,lung,15,AM,GO:0007520,myoblast fusion,NA
GO:1901739,0.00162505502765649,0.15717910570441793,0.45505986738722953,0.9235531412704944,1.6010275752519978,3,"Cxcl9,Cxcl10",regulation of myoblast fusion,mtb,pos,neg,lung,15,AM,GO:1901739,myoblast fusion,NA
GO:0032103,0.00236615114688783,0.17886164601600757,0.4317076958033464,0.679464530941306,1.7697347119982447,15,"Cxcl10,Rsad2,Gbp5,Gbp2,Irf7,Pla2g7,C3,Ifi204",positive regulation of response to external stimulus,mtb,pos,neg,lung,15,AM,GO:0032103,response to external stimulus,NA
GO:0097529,0.00210892381495603,0.17886164601600757,0.4317076958033464,0.7957405415578807,1.7347310429163807,7,"Cxcl9,Cxcl10,Mmp14,Pla2g7",myeloid leukocyte migration,mtb,pos,neg,lung,15,AM,GO:0097529,immune response,NA
GO:0044419,0.00245279301840257,0.17886164601600757,0.4317076958033464,0.5687045763464612,1.7266764864220885,46,"Cxcl9,Cxcl10,AA467197,Ass1,Rsad2,Gbp5,Cxcl16,Cfb,Gbp2,Irf7,Ccl9,Wfdc17,C3,Bst2,Ifi204,Rnf19b,B2m,Stat1,H2-T23,H2-K1,Samhd1,Ly6e",biological process involved in interspecies interaction between organisms,mtb,pos,neg,lung,15,AM,GO:0044419,response to lipopolysaccharide,NA
GO:0030593,0.00237967399335015,0.17886164601600757,0.4317076958033464,0.8411173113442587,1.6828819872377985,5,"Cxcl9,Cxcl10",neutrophil chemotaxis,mtb,pos,neg,lung,15,AM,GO:0030593,immune response,NA
GO:0071621,0.00237967399335015,0.17886164601600757,0.4317076958033464,0.8411173113442587,1.6828819872377985,5,"Cxcl9,Cxcl10",granulocyte chemotaxis,mtb,pos,neg,lung,15,AM,GO:0071621,immune response,NA
GO:0097530,0.00237967399335015,0.17886164601600757,0.4317076958033464,0.8411173113442587,1.6828819872377985,5,"Cxcl9,Cxcl10",granulocyte migration,mtb,pos,neg,lung,15,AM,GO:0097530,immune response,NA
GO:1990266,0.00237967399335015,0.17886164601600757,0.4317076958033464,0.8411173113442587,1.6828819872377985,5,"Cxcl9,Cxcl10",neutrophil migration,mtb,pos,neg,lung,15,AM,GO:1990266,immune response,NA
GO:0006816,0.00250692810491543,0.17886164601600757,0.4317076958033464,0.8391820289708212,1.6790099330040416,5,"Cxcl9,Cxcl10",calcium ion transport,mtb,pos,neg,lung,15,AM,GO:0006816,establishment of localization in cell,NA
GO:0051924,0.00250692810491543,0.17886164601600757,0.4317076958033464,0.8391820289708212,1.6790099330040416,5,"Cxcl9,Cxcl10",regulation of calcium ion transport,mtb,pos,neg,lung,15,AM,GO:0051924,establishment of localization in cell,NA
GO:0009617,0.00259055075888283,0.1811313090610881,0.4317076958033464,0.6035102505457879,1.7542885056102753,28,"Cxcl9,Cxcl10,AA467197,Ass1,Gbp5,Cxcl16,Cfb,Gbp2,Wfdc17,C3,Ifi204,B2m,Stat1,H2-T23,H2-K1",response to bacterium,mtb,pos,neg,lung,15,AM,GO:0009617,response to lipopolysaccharide,NA
GO:0051649,0.00280923661203629,0.19257041560154667,0.4317076958033464,-0.4304784434355408,-2.1693604853495145,18,"Syne2,Mctp1,Ezr,Picalm,Atxn1,Hsp90ab1,Npc2,Calr,Cyba,Grn,Sec61g,Psap,Atp6v1e1,Atp6v0c,Itgb2,Hspa5,Prkcd",establishment of localization in cell,mtb,pos,neg,lung,15,AM,GO:0051649,establishment of localization in cell,NA
GO:0009615,0.00306163582507122,0.20547716121355508,0.4317076958033464,0.7129370213652888,1.7772110137523416,12,"Cxcl9,Cxcl10,Rsad2,Gbp5,Gbp2,Irf7",response to virus,mtb,pos,neg,lung,15,AM,GO:0009615,defense response to symbiont,NA
GO:0002237,0.00317384631165102,0.20547716121355508,0.4317076958033464,0.7002950127151368,1.7674551550218551,13,"Cxcl9,Cxcl10,Ass1,Gbp5,Cxcl16,Gbp2",response to molecule of bacterial origin,mtb,pos,neg,lung,15,AM,GO:0002237,response to lipopolysaccharide,NA
GO:0032496,0.00317384631165102,0.20547716121355508,0.4317076958033464,0.7002950127151368,1.7674551550218551,13,"Cxcl9,Cxcl10,Ass1,Gbp5,Cxcl16,Gbp2",response to lipopolysaccharide,mtb,pos,neg,lung,15,AM,GO:0032496,response to lipopolysaccharide,NA
GO:0002684,0.00331224438883753,0.21053829787956416,0.4317076958033464,0.6190441711801914,1.7724743064426134,25,"Cxcl10,Mmp14,Rsad2,Gbp5,Cfb,Gbp2,Irf7,Pla2g7,Ccl9,C3,Ifi204,B2m,H2-T23,H2-K1",positive regulation of immune system process,mtb,pos,neg,lung,15,AM,GO:0002684,immune response,NA
GO:0071396,0.00377016799931546,0.23517577101122053,0.4317076958033464,0.6923818881200527,1.7713974471191458,14,"Cxcl9,Cxcl10,Ass1,Gbp5,Cxcl16,Gbp2",cellular response to lipid,mtb,pos,neg,lung,15,AM,GO:0071396,cellular response to lipid,NA
GO:0002221,0.00403619744298433,0.23517577101122053,0.40701791892395395,0.8089004029162712,1.6965951085200652,6,"Rsad2,Gbp5,Gbp2,Irf7",pattern recognition receptor signaling pathway,mtb,pos,neg,lung,15,AM,GO:0002221,defense response to symbiont,NA
GO:0002758,0.00403619744298433,0.23517577101122053,0.40701791892395395,0.8089004029162712,1.6965951085200652,6,"Rsad2,Gbp5,Gbp2,Irf7",innate immune response-activating signaling pathway,mtb,pos,neg,lung,15,AM,GO:0002758,defense response to symbiont,NA
GO:0062207,0.00403619744298433,0.23517577101122053,0.40701791892395395,0.8089004029162712,1.6965951085200652,6,"Rsad2,Gbp5,Gbp2,Irf7",regulation of pattern recognition receptor signaling pathway,mtb,pos,neg,lung,15,AM,GO:0062207,defense response to symbiont,NA
GO:0039531,0.00400457873811368,0.23517577101122053,0.40701791892395395,0.9069767441860466,1.5722915257010008,3,"Rsad2,Gbp5,Gbp2",regulation of cytoplasmic pattern recognition receptor signaling pathway,mtb,pos,neg,lung,15,AM,GO:0039531,defense response to symbiont,NA
GO:0030595,0.00446009227169589,0.25561446855489894,0.40701791892395395,0.7552197980313303,1.699160770702567,8,"Cxcl9,Cxcl10,Cxcl16,Pla2g7",leukocyte chemotaxis,mtb,pos,neg,lung,15,AM,GO:0030595,cell chemotaxis,NA
GO:0060326,0.00530394481800677,0.2990740497379304,0.40701791892395395,0.7237307646975595,1.7191696273844472,10,"Cxcl9,Cxcl10,Cxcl16,Pla2g7,Ccl9",cell chemotaxis,mtb,pos,neg,lung,15,AM,GO:0060326,cell chemotaxis,NA
GO:0006959,0.00554778495879518,0.303047753374187,0.40701791892395395,0.7081815532461604,1.7183348001466052,11,"Cxcl9,Cxcl10,Cfb,Ccl9,Wfdc17,C3,B2m,H2-T23",humoral immune response,mtb,pos,neg,lung,15,AM,GO:0006959,immune response,NA
GO:0007189,0.00548142323093194,0.303047753374187,0.40701791892395395,0.8980746156949181,1.5568592213150003,3,"Cxcl9,Cxcl10",adenylate cyclase-activating G protein-coupled receptor signaling pathway,mtb,pos,neg,lung,15,AM,GO:0007189,cytoplasmic pattern recognition receptor signaling pathway,NA
GO:0034097,0.006629463101148,0.3565631231017452,0.40701791892395395,0.5911947131772279,1.704535190828642,26,"Cxcl9,Cxcl10,Ass1,Gbp5,Cxcl16,Gbp2,Irf7,Ccl9,Bst2,Ifi204,Ctsk,Stat1,Samhd1,Tcirg1,Nrp2,Il1rn,Arid5b,Tank",response to cytokine,mtb,pos,neg,lung,15,AM,GO:0034097,cellular response to lipid,NA
GO:1901652,0.00674938347497958,0.35751279740194913,0.40701791892395395,0.5765079392961332,1.6714293817034398,27,"Cxcl9,Cxcl10,Ass1,Gbp5,Cxcl16,Gbp2,Irf7,Ccl9,Bst2,Ifi204,Ctsk,Stat1,Samhd1,Tcirg1,Nrp2,Il1rn,Arid5b,Tank",response to peptide,mtb,pos,neg,lung,15,AM,GO:1901652,cellular response to lipid,NA
GO:0002218,0.00737698606134665,0.36398947824104566,0.40701791892395395,0.7539934473937698,1.6437215034800032,7,"Rsad2,Gbp5,Gbp2,Irf7,Ifi204",activation of innate immune response,mtb,pos,neg,lung,15,AM,GO:0002218,defense response to symbiont,NA
GO:0010818,0.00739223482697775,0.36398947824104566,0.40701791892395395,0.9307692307692308,1.4474915303718334,2,"Cxcl10,Cxcl16",T cell chemotaxis,mtb,pos,neg,lung,15,AM,GO:0010818,immune response,NA
GO:0048247,0.00739223482697775,0.36398947824104566,0.40701791892395395,0.9307692307692308,1.4474915303718334,2,"Cxcl10,Cxcl16",lymphocyte chemotaxis,mtb,pos,neg,lung,15,AM,GO:0048247,immune response,NA
GO:0072676,0.00739223482697775,0.36398947824104566,0.40701791892395395,0.9307692307692308,1.4474915303718334,2,"Cxcl10,Cxcl16",lymphocyte migration,mtb,pos,neg,lung,15,AM,GO:0072676,immune response,NA
GO:0072678,0.00739223482697775,0.36398947824104566,0.40701791892395395,0.9307692307692308,1.4474915303718334,2,"Cxcl10,Cxcl16",T cell migration,mtb,pos,neg,lung,15,AM,GO:0072678,immune response,NA
GO:0007188,0.0074967964349837,0.3640111157875421,0.40701791892395395,0.8466134012299364,1.5930901972816347,4,"Cxcl9,Cxcl10",adenylate cyclase-modulating G protein-coupled receptor signaling pathway,mtb,pos,neg,lung,15,AM,GO:0007188,cytoplasmic pattern recognition receptor signaling pathway,NA
GO:0046907,0.00891851721726202,0.37277578453097887,0.3807304007227924,-0.4916666666666666,-1.8856115128456228,12,"Syne2,Ezr,Picalm,Atxn1,Hsp90ab1,Npc2,Calr,Grn,Sec61g,Psap,Hspa5,Prkcd",intracellular transport,mtb,pos,neg,lung,15,AM,GO:0046907,establishment of localization in cell,NA
GO:0001906,0.00900344402710643,0.37277578453097887,0.3807304007227924,0.6654810529470218,1.7025740541787782,14,"Cxcl9,Cxcl10,Gbp5,Gbp2,C3,Rnf19b,B2m,H2-T23,H2-K1",cell killing,mtb,pos,neg,lung,15,AM,GO:0001906,killing of cells of another organism,NA
GO:0034765,0.00860390363719326,0.37277578453097887,0.3807304007227924,0.786589430584397,1.6497998709504995,6,"Cxcl9,Cxcl10",regulation of monoatomic ion transmembrane transport,mtb,pos,neg,lung,15,AM,GO:0034765,establishment of localization in cell,NA
GO:1904062,0.00860390363719326,0.37277578453097887,0.3807304007227924,0.786589430584397,1.6497998709504995,6,"Cxcl9,Cxcl10",regulation of monoatomic cation transmembrane transport,mtb,pos,neg,lung,15,AM,GO:1904062,establishment of localization in cell,NA
GO:0034341,0.00870958582428117,0.37277578453097887,0.3807304007227924,0.7472237408602468,1.6289634014834091,7,"Ass1,Gbp5,Cxcl16,Gbp2,Bst2,Stat1",response to type II interferon,mtb,pos,neg,lung,15,AM,GO:0034341,cellular response to lipid,NA
GO:0071675,0.00827639304791784,0.37277578453097887,0.3807304007227924,0.8042528346546027,1.6091246611748968,5,"Cxcl10,Mmp14,Pla2g7",regulation of mononuclear cell migration,mtb,pos,neg,lung,15,AM,GO:0071675,immune response,NA
GO:0071677,0.00827639304791784,0.37277578453097887,0.3807304007227924,0.8042528346546027,1.6091246611748968,5,"Cxcl10,Mmp14,Pla2g7",positive regulation of mononuclear cell migration,mtb,pos,neg,lung,15,AM,GO:0071677,immune response,NA
GO:0006520,0.00906348446371087,0.37277578453097887,0.3807304007227924,0.9230769230769232,1.4355287904514051,2,"Ass1,Slc7a11",amino acid metabolic process,mtb,pos,neg,lung,15,AM,GO:0006520,glutamine family amino acid metabolic process,NA
GO:0009064,0.00906348446371087,0.37277578453097887,0.3807304007227924,0.9230769230769232,1.4355287904514051,2,"Ass1,Slc7a11",glutamine family amino acid metabolic process,mtb,pos,neg,lung,15,AM,GO:0009064,glutamine family amino acid metabolic process,NA
GO:0043648,0.00906348446371087,0.37277578453097887,0.3807304007227924,0.9230769230769232,1.4355287904514051,2,"Ass1,Slc7a11",dicarboxylic acid metabolic process,mtb,pos,neg,lung,15,AM,GO:0043648,dicarboxylic acid metabolic process,NA
GO:0170033,0.00906348446371087,0.37277578453097887,0.3807304007227924,0.9230769230769232,1.4355287904514051,2,"Ass1,Slc7a11",L-amino acid metabolic process,mtb,pos,neg,lung,15,AM,GO:0170033,NA,NA
GO:0170039,0.00906348446371087,0.37277578453097887,0.3807304007227924,0.9230769230769232,1.4355287904514051,2,"Ass1,Slc7a11",proteinogenic amino acid metabolic process,mtb,pos,neg,lung,15,AM,GO:0170039,NA,NA
GO:1901605,0.00906348446371087,0.37277578453097887,0.3807304007227924,0.9230769230769232,1.4355287904514051,2,"Ass1,Slc7a11",alpha-amino acid metabolic process,mtb,pos,neg,lung,15,AM,GO:1901605,glutamine family amino acid metabolic process,NA
GO:0000768,0.01015519615087116,0.3989052330724224,0.3807304007227924,0.8371567358615539,1.5752953916767902,4,"Cxcl9,Cxcl10",syncytium formation by plasma membrane fusion,mtb,pos,neg,lung,15,AM,GO:0000768,myoblast fusion,NA
GO:0006949,0.01015519615087116,0.3989052330724224,0.3807304007227924,0.8371567358615539,1.5752953916767902,4,"Cxcl9,Cxcl10",syncytium formation,mtb,pos,neg,lung,15,AM,GO:0006949,syncytium formation,NA
GO:0060142,0.01015519615087116,0.3989052330724224,0.3807304007227924,0.8371567358615539,1.5752953916767902,4,"Cxcl9,Cxcl10",regulation of syncytium formation by plasma membrane fusion,mtb,pos,neg,lung,15,AM,GO:0060142,myoblast fusion,NA
GO:0140253,0.01015519615087116,0.3989052330724224,0.3807304007227924,0.8371567358615539,1.5752953916767902,4,"Cxcl9,Cxcl10",cell-cell fusion,mtb,pos,neg,lung,15,AM,GO:0140253,myoblast fusion,NA
GO:0030522,0.01061799289998782,0.3991451954662088,0.3807304007227924,0.7387276201537316,1.610441680439635,7,"Rsad2,Gbp5,Gbp2,Irf7",intracellular receptor signaling pathway,mtb,pos,neg,lung,15,AM,GO:0030522,cytoplasmic pattern recognition receptor signaling pathway,NA
GO:0070098,0.01056032423440687,0.3991451954662088,0.3807304007227924,0.875968992248062,1.5185379692667784,3,"Cxcl9,Cxcl10,Ccl9",chemokine-mediated signaling pathway,mtb,pos,neg,lung,15,AM,GO:0070098,cellular response to lipid,NA
GO:1990868,0.01056032423440687,0.3991451954662088,0.3807304007227924,0.875968992248062,1.5185379692667784,3,"Cxcl9,Cxcl10,Ccl9",response to chemokine,mtb,pos,neg,lung,15,AM,GO:1990868,cellular response to lipid,NA
GO:1990869,0.01056032423440687,0.3991451954662088,0.3807304007227924,0.875968992248062,1.5185379692667784,3,"Cxcl9,Cxcl10,Ccl9",cellular response to chemokine,mtb,pos,neg,lung,15,AM,GO:1990869,cellular response to lipid,NA
GO:0051301,0.01074017677605028,0.3994431703092744,0.3807304007227924,-0.8294573643410853,-1.7043005846874617,3,"Cdk6,Zfp36l2,Svil",cell division,mtb,pos,neg,lung,15,AM,GO:0051301,cell division,NA
GO:0042692,0.01128590203390225,0.4153211948476029,0.3807304007227924,0.7180757333171232,1.6570342874020765,9,"Cxcl9,Cxcl10,Mmp14",muscle cell differentiation,mtb,pos,neg,lung,15,AM,GO:0042692,striated muscle cell differentiation,NA
